,sets,f1_score,precision_score,recall_score,accuracy_score
0,set_1,0.564650157255365,0.6672431870230405,0.6207755956534742,0.6207755956534742
1,set_2,0.5592607789480805,0.7147526030454966,0.615890738709999,0.615890738709999
2,set_3,0.5612658526011427,0.7152140250363961,0.6175854849965108,0.6175854849965108
3,set_4,0.5679565114871117,0.6586211978108317,0.6228691057721065,0.6228691057721065
4,set_5,0.5709360961347998,0.5763330681680199,0.6269564350513408,0.6269564350513408
5,set_6,0.5693924284810777,0.5738930900908088,0.6247632339746785,0.6247632339746785
6,set_7,0.5597852699254491,0.5640668625393996,0.6152925929618184,0.6152925929618184
7,set_8,0.5635448040158215,0.6406429604260135,0.6190808493669624,0.6190808493669624
8,set_9,0.5657503265487894,0.7171391365576358,0.6211743594855946,0.6211743594855946
9,set_10,0.56685163764708,0.5684429330094782,0.6218721961918054,0.6218721961918054
10,average,0.5649393863044717,0.6396349063707121,0.6206260592164291,0.6206260592164291
